lig id,mass,mass status,suitable lig,suitable type,NMP/NDP/NTP,water,complex,small mol,solvent/buffer,linker,covalent
DA,331.068169798,exact,0,0,524,0,0,0,0,0,42
DC,307.05693641799996,exact,0,0,488,0,0,0,0,0,120
DG,347.0630844180001,exact,0,0,497,0,0,0,0,0,65
DT,322.05660206999994,exact,0,0,523,0,0,0,0,0,42
F2A,489.0215662859998,exact,0,0,1,0,0,0,0,0,0
HOH,18.010564684,exact,0,0,343,1773,0,0,0,0,4
NCO,107.292843,approximation,0,0,1,0,0,0,118,0,12
ZTH,,,0,0,0,0,0,0,0,0,16
SPM,202.21574683199998,exact,0,0,1,0,0,0,40,0,0
F86,,,0,0,0,0,0,0,0,0,7
A23,409.01885025599995,exact,0,0,0,0,0,0,0,0,46
G6P,260.02971862600003,exact,4,4,0,0,0,0,0,0,0
GDP,443.02432955999996,exact,0,0,8,0,0,0,0,0,35
DAI,375.18344366,exact,2,2,0,0,0,0,0,0,0
NMY,614.3122855319999,exact,8,8,0,0,0,0,0,0,0
PF,210.10257380408999,exact,5,5,0,0,0,0,0,0,0
GTP,522.9906600819999,exact,0,0,55,0,0,0,0,0,260
XAN,152.033425368,exact,0,4,0,0,0,0,0,0,0
PAR,615.29630112,exact,45,45,0,0,0,0,0,0,3
ADE,135.05449516,exact,0,8,1,0,0,0,0,0,0
APC,505.0164809059998,exact,0,0,14,0,0,0,0,0,3
IU,,,0,0,0,0,0,0,0,0,43
D2X,426.02843521608986,exact,1,1,0,0,0,0,0,0,0
DU,308.040952006,exact,0,0,9,0,0,0,0,0,10
AVC,,,0,0,0,0,0,0,0,0,6
S9L,,,0,0,0,0,0,0,0,0,44
SPK,206.24485264035997,exact,0,0,0,0,0,0,2,0,0
ATP,506.99574546199983,exact,2,2,46,0,0,0,0,0,18
CBV,,,0,0,0,0,0,0,0,0,183
SEP,185.00892360600002,exact,0,4,0,0,0,0,0,0,38
MUM,,,0,0,0,0,0,0,0,0,15
SAH,384.12158873999994,exact,7,31,4,0,0,0,0,0,0
ANP,506.0117298739999,exact,0,0,2,0,0,0,0,0,2
S81,324.18089812,exact,1,1,0,0,0,0,0,0,0
FFO,473.1658960760001,exact,2,2,1,0,0,0,0,0,0
IDO,,,0,0,0,0,0,0,0,0,22
+C,0,error,0,9,0,0,0,0,0,0,0
ET,314.16517406009007,exact,5,5,0,0,0,0,0,0,0
MOH,32.026214748,exact,0,4,0,0,0,0,0,0,0
PYI,419.08799869208985,exact,1,1,0,0,0,0,0,0,0
6MZ,361.07873448199985,exact,0,1,0,0,0,0,0,0,88
SF4,351.628034,exact,0,0,3,0,0,0,2,0,146
SAM,398.13723880400005,exact,35,44,2,0,0,0,0,0,0
ADP,427.0294149399999,exact,2,2,65,0,0,0,0,0,24
0C,,,0,0,0,0,0,0,0,0,270
0G,,,0,0,0,0,0,0,0,0,364
0A,347.06308441799996,exact,1,1,0,0,0,0,0,0,10
0U,,,0,0,0,0,0,0,0,0,150
0U1,,,0,0,0,0,0,0,0,0,2
MPD,118.099379688,exact,0,0,1,0,0,0,28,0,0
3AT,491.00083084199986,exact,1,1,2,0,0,0,0,0,0
4SU,,,0,0,0,0,0,0,0,0,40
H2U,,,0,0,0,0,0,0,0,0,167
PSU,,,0,0,0,0,0,0,0,0,984
5MU,,,0,0,0,0,0,0,0,0,178
EDO,62.036779432,exact,0,0,22,0,0,0,123,0,2
GOL,92.047344116,exact,0,0,48,0,0,0,167,0,2
PGE,150.089208928,exact,0,0,2,0,0,0,37,0,0
BRU,385.9514640739999,exact,0,1,0,0,0,0,0,0,79
UNK,103.063328528,exact,0,32,17,0,0,0,0,0,157
WO2,0.0,error,,0,0,0,0,0,0,0,
ZLD,337.14378433999997,exact,3,3,0,0,0,0,0,0,0
IPH,94.041864812,exact,0,22,0,0,0,0,0,0,0
6HS,448.253314112,exact,3,3,0,0,0,0,0,0,0
CAS,,,0,0,0,0,0,0,0,0,14
N,214.024239322,exact,0,0,1,0,0,5,0,0,160
HMV,254.141913196,exact,1,1,0,0,0,0,0,0,0
7MG,,,0,0,0,0,0,0,0,0,146
M2G,,,0,0,0,0,0,0,0,0,159
5MC,,,0,0,0,0,0,0,0,0,614
2MG,,,0,0,0,0,0,0,0,0,259
4OC,,,0,0,0,0,0,0,0,0,124
UR3,,,0,0,0,0,0,0,0,0,222
MA6,375.09438454599984,exact,21,21,0,0,0,0,0,0,128
0TD,,,0,0,0,0,0,0,0,0,102
GRB,,,0,0,0,0,0,0,0,0,5
4DU,,,0,0,0,0,0,0,0,0,3
AHW,,,0,0,0,0,0,0,0,0,1
SRY,581.2656696879999,exact,16,16,0,0,0,0,0,0,0
SMC,,,0,0,0,0,0,0,0,0,12
5AD,251.101839276,exact,0,2,0,0,0,0,0,0,0
1N7,631.39866426809,exact,0,0,8,0,0,0,0,0,0
1MA,361.078734482,exact,0,0,1,0,0,0,0,0,144
OMU,,,0,0,0,0,0,0,0,0,209
OMG,,,0,0,0,0,0,0,0,0,246
ANM,265.131408088,exact,2,2,0,0,0,0,0,0,0
TTP,481.9892631139998,exact,0,0,10,0,0,0,0,0,0
8AZ,,,0,0,0,0,0,0,0,0,18
IHP,659.8613712360001,exact,0,27,0,0,0,0,0,0,0
RFP,822.4051232960002,exact,0,0,2,0,0,0,0,0,0
B3P,282.179086552,exact,0,0,5,0,0,0,1,0,0
PUM,486.1822744119999,exact,0,0,1,0,0,0,0,0,0
C2E,690.0948687079999,exact,8,8,0,0,0,0,0,0,0
CIT,192.02700259600002,exact,0,0,0,0,0,0,8,0,0
PG4,194.115423676,exact,0,0,1,0,0,0,9,0,0
LC2,459.2257023959999,exact,2,2,0,0,0,0,0,0,0
LMA,830.502771668,exact,0,2,0,0,0,0,0,0,0
3AW,125.07014522399999,exact,0,1,0,0,0,0,0,0,0
LCG,,,0,0,0,0,0,0,0,0,162
TLN,,,0,0,0,0,0,0,0,0,40
J48,500.20407873209007,exact,4,4,0,0,0,0,0,0,0
ETF,100.013599376,exact,0,0,0,0,0,0,1,0,0
BU3,90.06807956,exact,0,1,0,0,0,0,0,0,0
EGD,87.07964728799999,exact,0,2,0,0,0,0,0,0,0
G5J,,,0,0,0,0,0,0,0,0,2
HPA,136.038510748,exact,0,12,0,0,0,0,0,0,0
MSE,,,0,0,0,0,0,0,0,0,2209
HLV,227.094628656,exact,2,2,0,0,0,0,0,0,0
CH1,466.9895974619998,exact,0,0,7,0,0,0,0,0,0
CTP,482.9845120819998,exact,0,0,19,0,0,0,0,0,2
PEG,106.06299418,exact,0,0,10,0,0,0,23,0,0
TAR,150.01643791200001,exact,0,3,2,0,0,0,0,0,0
V71,324.18089812,exact,1,1,0,0,0,0,0,0,0
T6A,,,0,0,0,0,0,0,0,0,10
MUL,493.32257998399996,exact,2,2,0,0,0,0,0,0,0
A2M,,,0,0,0,0,0,0,0,0,172
OMC,337.0675011019999,exact,0,1,0,0,0,0,0,0,207
B8N,,,0,0,0,0,0,0,0,0,4
4AC,,,0,0,0,0,0,0,0,0,198
UMS,,,0,0,0,0,0,0,0,0,30
RIO,454.2274932879999,exact,6,6,0,0,0,0,0,0,0
B8H,,,0,0,0,0,0,0,0,0,6
EPE,238.098728056,exact,0,0,8,0,0,0,35,0,1
PRF,179.080709908,exact,0,9,0,0,0,0,0,0,0
CYY,,,0,0,0,0,0,0,0,0,4
PA1,,,0,0,0,0,0,0,0,0,1
BDR,,,0,0,0,0,0,0,0,0,4
IDG,,,0,0,0,0,0,0,0,0,3
GTA,787.0997758100898,exact,,0,0,0,0,0,0,0,
MES,195.056528896,exact,0,0,3,0,0,0,14,0,0
CCC,,,0,0,0,0,0,0,0,0,100
IPA,60.057514876,exact,0,0,6,0,0,0,14,0,0
1PE,238.141638424,exact,0,0,1,0,0,0,10,0,0
6U0,,,0,0,0,0,0,0,0,0,1
FLC,189.00517323973003,exact,0,4,1,0,0,0,0,0,0
PPU,,,0,0,0,0,0,0,0,0,16
PO2,,,0,0,0,0,0,0,0,0,10
LLL,449.2849485880001,exact,3,3,0,0,0,0,0,0,0
5BU,,,0,0,0,0,0,0,0,0,199
N30,454.22749328799995,exact,1,1,0,0,0,0,0,0,0
LCC,,,0,0,0,0,0,0,0,0,181
LCA,,,0,0,0,0,0,0,0,0,28
3PO,,,0,0,0,0,0,0,0,0,1
