pdb id,rna frac,structure type,lig type,lig mass,site frac,elements,grid size,used for RNet,filter sum
1EI2,1,1,1,1,1,1,1,1,7
DRB002,1,1,1,1,1,1,1,1,7
3D2X,1,1,1,1,1,1,1,1,7
6JBG,1,1,1,1,1,1,1,1,7
3SD3,1,1,1,1,1,1,1,1,7
DRBB12,1,1,1,1,1,1,1,1,7
3D2V,1,1,1,1,1,1,1,1,7
7D7X,1,1,1,1,1,1,1,1,7
2O3W,1,1,1,1,1,1,1,1,7
4ZC7,1,1,1,1,1,1,1,1,7
6TF3,1,1,1,1,1,1,1,1,7
4GPW,1,1,1,1,1,1,1,1,7
6E1V,1,1,1,1,1,1,1,1,7
1NTA,1,1,1,1,1,1,1,1,7
3GX5,1,1,1,1,1,1,1,1,7
3IRW,1,1,1,1,1,1,1,1,7
6QIT,1,1,1,1,1,1,1,1,7
6E1S,1,1,1,1,1,1,1,1,7
3MXH,1,1,1,1,1,1,1,1,7
6JBF,1,1,1,1,1,1,1,1,7
6QIS,1,1,1,1,1,1,1,1,7
6E1T,1,1,1,1,1,1,1,1,7
2ET3,1,1,1,1,1,1,1,1,7
2O3X,1,1,1,1,1,1,1,1,7
6E84,1,1,1,1,1,1,1,1,7
216D,1,1,1,1,1,1,1,1,7
7OAV,1,1,1,1,1,1,1,1,7
3D2G,1,1,1,1,1,1,1,1,7
DRB018,1,1,1,1,1,1,1,1,7
3C44,1,1,1,1,1,1,1,1,7
6XB7,1,1,1,1,1,1,1,1,7
3MUR,1,1,1,1,1,1,1,1,7
6TFF,1,1,1,1,1,1,1,1,7
4QLM,1,1,1,1,1,1,1,1,7
5FKH,1,1,1,1,1,1,1,1,7
5FK1,1,1,1,1,1,1,1,1,7
DRBB15,1,1,1,1,1,1,1,1,7
2YDH,1,1,1,1,1,1,1,1,7
1FYP,1,1,1,1,1,1,1,1,7
7EAF,1,1,1,1,1,1,1,1,7
4AOB,1,1,1,1,1,1,1,1,7
4F8U,1,1,1,1,1,1,1,1,7
2OE5,1,1,1,1,1,1,1,1,7
5FKD,1,1,1,1,1,1,1,1,7
5XZ1,1,1,1,1,1,1,1,1,7
DRB006,1,1,1,1,1,1,1,1,7
DRBB13,1,1,1,1,1,1,1,1,7
5BJO,1,1,1,1,1,1,1,1,7
3SKW,1,1,1,1,1,1,1,1,7
7OAW,1,1,1,1,1,1,1,1,7
6E1U,1,1,1,1,1,1,1,1,7
4NYG,1,1,1,1,1,1,1,1,7
6TF1,1,1,1,1,1,1,1,1,7
1F27,1,1,1,1,1,1,1,1,7
5OB3,1,1,1,1,1,1,1,1,7
6GZK,1,1,1,1,1,1,1,1,7
6IZP,1,1,1,1,1,1,1,1,7
7D7V,1,1,1,1,1,1,1,1,7
3SKR,1,1,1,1,1,1,1,1,7
3TZR,1,1,1,1,1,1,1,1,7
6U8F,1,1,1,1,1,1,1,1,7
2F4S,1,1,1,1,1,1,1,1,7
5FK2,1,1,1,1,1,1,1,1,7
DRBB01,1,1,1,1,1,1,1,1,7
5FKG,1,1,1,1,1,1,1,1,7
5ZEI,1,1,1,1,1,1,1,1,7
3DVV,1,1,1,1,1,1,1,1,7
2YGH,1,1,1,1,1,1,1,1,7
6GZR,1,1,1,1,1,1,1,1,7
7L0Z,1,1,1,1,1,1,1,1,7
6E82,1,1,1,1,1,1,1,1,7
5Z71,1,1,1,1,1,1,1,1,7
5FK5,1,1,1,1,1,1,1,1,7
4TS0,1,1,1,1,1,1,1,1,7
4B5R,1,1,1,1,1,1,1,1,7
1JO2,1,1,1,1,1,1,1,1,7
1LC4,1,1,1,1,1,1,1,1,7
2L94,1,1,1,1,1,1,1,1,7
2O3V,1,1,1,1,1,1,1,1,7
6C63,1,1,1,1,1,1,1,1,7
2OE8,1,1,1,1,1,1,1,1,7
3MUM,1,1,1,1,1,1,1,1,7
7D81,1,1,1,1,1,1,1,1,7
6HMO,1,1,1,1,1,1,1,1,7
1LVJ,1,1,1,1,1,1,1,1,7
5Z1I,1,1,1,1,1,1,1,1,7
2F4U,1,1,1,1,1,1,1,1,7
