pdb id,rna frac,structure type,lig type,lig mass,site frac,elements,grid size
4FO6,0,0,0,1,0,1,1
1XSU,1,1,0,0,0,1,1
5V1L,1,1,0,1,0,1,0
7C2K,0,0,0,0,0,1,0
2HO7,1,1,1,1,1,1,0
4C7O,0,1,0,1,0,1,0
1YKV,1,1,1,1,1,1,0
1EI2,1,1,1,1,1,1,1
DRB002,1,1,1,1,1,1,1
7ELQ,1,1,1,0,0,1,1
2D6F,0,1,0,0,0,1,0
1IBL,1,1,1,1,1,1,0
4TZX,1,1,1,0,0,1,1
4S2X,0,1,0,0,0,1,1
5ZQF,0,1,0,1,0,1,1
3D2X,1,1,1,1,1,1,1
4RGF,1,1,0,1,0,1,1
2P7E,1,1,0,0,0,0,0
1Y0Q,1,1,0,1,0,1,0
6X50,0,0,0,1,0,1,0
5T5A,1,1,0,1,0,0,0
2DU5,0,1,1,0,0,1,0
5ZQ8,0,1,1,1,0,1,0
2BBV,0,1,0,0,0,1,0
6IFK,0,1,0,0,0,1,0
6F4G,0,1,0,0,0,1,1
6JBG,1,1,1,1,1,1,1
3SD3,1,1,1,1,1,1,1
4RNE,1,1,0,0,0,1,1
DRBB12,1,1,1,1,1,1,1
3D2V,1,1,1,1,1,1,1
6Q8U,0,1,0,0,0,1,0
5F0S,0,0,0,1,0,0,1
3NMU,0,1,1,1,0,1,0
5M0J,0,1,0,0,0,1,0
7D7X,1,1,1,1,1,1,1
4U67,1,1,0,0,0,1,0
4R8I,0,1,0,0,0,0,1
2O3W,1,1,1,1,1,1,1
4ZC7,1,1,1,1,1,1,1
6D8P,0,1,0,1,0,1,0
6TF3,1,1,1,1,1,1,1
2GPM,1,1,0,0,0,1,1
6Y4B,1,1,0,0,0,1,0
6DOE,0,1,0,1,0,1,1
3HOY,0,0,0,1,0,0,0
7ELR,1,1,1,0,0,1,1
1FKA,1,1,1,0,0,1,0
3DLL,1,1,1,1,1,1,0
4F3T,0,1,1,0,0,1,0
5IT9,1,1,0,0,0,1,0
6KLE,0,0,0,0,0,1,0
4GPW,1,1,1,1,1,1,1
7A9W,0,0,0,0,0,0,0
6E1V,1,1,1,1,1,1,1
6IG0,0,1,0,0,0,1,0
6ALF,0,0,0,1,0,1,0
4LFB,1,1,1,1,1,1,0
4BY1,0,0,0,1,0,0,0
4PCJ,1,1,0,0,0,1,1
3R1D,1,1,0,0,0,0,1
5OT2,0,0,0,1,0,0,0
3Q1Q,1,1,0,0,0,1,0
1NTA,1,1,1,1,1,1,1
5O5J,1,1,0,0,0,1,0
2R7S,0,0,0,0,0,1,0
5HR6,0,1,1,1,0,0,0
1NB7,0,0,0,0,0,1,0
6XLL,0,0,0,1,0,1,0
3CC4,1,1,1,1,1,1,0
2I7E,1,1,0,0,0,1,1
4KHU,0,0,0,1,0,1,0
1J8G,1,1,0,1,0,1,1
6RIP,0,0,0,1,0,1,0
5ED1,0,1,1,1,0,1,0
5UHC,0,0,0,1,0,1,0
3GX5,1,1,1,1,1,1,1
6UGI,1,1,0,0,0,1,1
4WTI,0,0,0,1,0,1,0
5X21,0,0,0,1,0,1,0
3IRW,1,1,1,1,1,1,1
6DTD,0,1,0,0,0,1,0
3PIP,1,1,1,1,1,1,0
5DA6,1,1,0,0,0,1,0
2XNZ,1,1,1,0,0,1,1
4AFY,0,1,0,0,0,1,1
4L0A,1,1,0,0,0,1,1
6QIT,1,1,1,1,1,1,1
4K4X,0,0,0,0,0,1,0
1W2B,1,1,0,0,0,1,0
6C6S,0,0,0,1,0,1,0
5F9F,0,1,1,0,0,1,0
3WFS,0,0,0,0,0,1,0
5O62,1,1,1,0,0,0,1
6DCC,0,1,1,1,0,1,0
4K4V,0,0,0,1,0,1,0
4FEL,1,1,1,0,0,1,1
2PXD,1,1,0,0,0,0,0
6E1S,1,1,1,1,1,1,1
5EEU,0,0,0,0,0,1,1
3MXH,1,1,1,1,1,1,1
6WOY,0,0,0,1,0,1,0
5FLM,0,0,0,1,0,1,0
4X4S,0,1,1,1,0,1,0
6JBF,1,1,1,1,1,1,1
7ABI,0,1,1,1,0,1,0
1XMQ,1,1,0,0,0,1,0
1ZZN,1,1,0,0,0,1,0
1XBP,1,1,1,1,1,1,0
6ZXG,0,1,0,1,0,1,0
5XPG,0,1,0,1,0,1,0
4MCF,1,1,0,0,0,1,0
3C3Z,1,1,1,1,1,0,1
4LF6,1,1,1,1,1,1,0
6SWE,0,1,0,0,0,1,0
6T3N,1,1,0,1,0,1,0
1NYI,1,1,0,0,0,1,1
5GAM,0,0,0,1,0,1,0
4RZD,1,1,1,0,0,1,0
3O3H,0,1,0,1,0,1,1
1O3Z,1,1,0,0,0,1,0
6QIS,1,1,1,1,1,1,1
1PBR,1,1,0,0,0,1,1
5LMO,1,1,0,0,0,1,0
5UDI,0,1,0,0,0,1,0
6E1T,1,1,1,1,1,1,1
2PXV,1,1,0,0,0,0,0
3DIM,1,1,0,1,0,1,1
4YN6,1,1,0,0,0,1,1
5KI6,0,1,1,0,0,1,1
3UCU,1,1,0,0,0,1,1
4U47,1,1,0,0,0,1,1
6J4X,0,0,0,1,0,1,0
3OXD,1,1,0,0,0,1,1
6TY9,0,0,0,1,0,1,0
6F4H,0,1,1,0,0,1,1
1VQM,1,1,0,0,0,1,0
2ET3,1,1,1,1,1,1,1
2B63,0,0,0,0,0,0,0
1N33,1,1,1,1,1,1,0
6CBD,0,1,0,0,0,1,0
2O3X,1,1,1,1,1,1,1
2X2Q,1,1,0,0,0,1,1
2MIS,1,1,0,0,0,1,0
5HP3,0,1,1,1,0,1,0
4AM3,0,1,0,0,0,1,0
3QSU,0,1,0,0,0,1,0
5C0W,0,1,0,0,0,1,0
4HOR,0,1,0,1,0,1,1
6PMJ,0,0,0,1,0,1,0
